iter	Logloss
0	0.6916603577
1	0.6903010737
2	0.6887104858
3	0.6873482567
4	0.6859494655
5	0.684503347
6	0.6829400559
7	0.6819249317
8	0.6801586767
9	0.6788948136
10	0.6775456668
11	0.6765099417
12	0.6753034107
13	0.6742561565
14	0.6730310579
15	0.671991517
16	0.6705756159
17	0.6694248422
18	0.6679125909
19	0.6665207876
20	0.6652949283
21	0.6645209897
22	0.6633388135
23	0.6625209261
24	0.6614016554
25	0.6606103665
26	0.6596792287
27	0.6584628305
28	0.6576066065
29	0.6564426738
30	0.6553148673
31	0.6543332758
32	0.6533510452
33	0.6526235759
34	0.6517340605
35	0.6510754197
36	0.6503897649
37	0.6497744133
38	0.64942377
39	0.6484814329
40	0.6473117453
41	0.646396773
42	0.6455263177
43	0.6445708978
44	0.6439325949
45	0.6429695169
46	0.6422528725
47	0.6413648903
48	0.6405499456
49	0.6393454156
50	0.6385589459
51	0.6378605877
52	0.6369288696
53	0.6365124038
54	0.635671345
55	0.6347312144
56	0.6343199904
57	0.6334091517
58	0.6327322246
59	0.6320928457
60	0.63116729
61	0.6302559475
62	0.629453237
63	0.6292718933
64	0.6286209804
65	0.6277644331
66	0.6271331961
67	0.6262998116
68	0.6258461624
69	0.6251604338
70	0.6247001214
71	0.6240585423
72	0.6238133758
73	0.6233580225
74	0.6227153596
75	0.6217023732
76	0.62102828
77	0.6206248936
78	0.6196663303
79	0.618899233
80	0.6185655512
81	0.6180014263
82	0.6175750898
83	0.6171304981
84	0.6167688879
85	0.6162730137
86	0.6159509983
87	0.6153475903
88	0.6149131191
89	0.6144003686
90	0.6139855578
91	0.6134508749
92	0.6127374632
93	0.6120844051
94	0.6117711156
95	0.6113745616
96	0.6106639923
97	0.6099365477
98	0.6094541976
99	0.6089736253
100	0.6085086532
101	0.6075887668
102	0.6068685146
103	0.606323516
104	0.6056389473
105	0.6051967593
106	0.6046271528
107	0.6038812008
108	0.6031649024
109	0.6024371839
110	0.6019503605
111	0.6015239306
112	0.6010630327
113	0.6002879247
114	0.5997510244
115	0.5994141945
116	0.5989488328
117	0.598430804
118	0.5980695332
119	0.5976624046
120	0.5972372175
121	0.5967414934
122	0.5964188616
123	0.5960167007
124	0.595521521
125	0.5949354895
126	0.5944197575
127	0.5938550225
128	0.5934158874
129	0.5930948455
130	0.5927327529
131	0.5922864439
132	0.5918019681
133	0.5915090459
134	0.5911361922
135	0.590523817
136	0.5899354105
137	0.5896507627
138	0.5892991091
139	0.5888268419
140	0.5884005844
141	0.5880015293
142	0.5874262578
143	0.5869474098
144	0.586604781
145	0.5861596737
146	0.5856086258
147	0.5852552402
148	0.5848487697
149	0.5843024372
150	0.5837076236
151	0.5833196345
152	0.5827658654
153	0.5824047912
154	0.5819812695
155	0.5813194183
156	0.581086146
157	0.5806604962
158	0.5803092417
159	0.5799176682
160	0.5793874667
161	0.5788649453
162	0.5784149663
163	0.578036304
164	0.5775380131
165	0.5771236703
166	0.5768271369
167	0.576491094
168	0.5760585601
169	0.5756459114
170	0.5753929033
171	0.575200586
172	0.5747230865
173	0.5741976766
174	0.5739401381
175	0.5734626807
176	0.5731423965
177	0.5728575706
178	0.5723135673
179	0.5719879901
180	0.571535877
181	0.5712009936
182	0.570768789
183	0.5703695535
184	0.5700071461
185	0.5694134392
186	0.5692535797
187	0.5689246063
188	0.5684054696
189	0.5680544666
190	0.5676803067
191	0.5673408101
192	0.5667683898
193	0.5665016194
194	0.5662726492
195	0.5658840982
196	0.5657282077
197	0.5652784064
198	0.5649489206
199	0.564507991
200	0.5642002931
201	0.5639033754
202	0.5633553599
203	0.5628364986
204	0.5626393829
205	0.562344257
206	0.562048911
207	0.5616088065
208	0.5613121119
209	0.5607796204
210	0.5603405845
211	0.5600275042
212	0.55956674
213	0.5592151415
214	0.5588548498
215	0.5586593122
216	0.5582954458
217	0.5578973539
218	0.5577575947
219	0.5572924194
220	0.5568289348
221	0.5565370613
222	0.5562994288
223	0.5559170435
224	0.5557031101
225	0.5553499399
226	0.5550973945
227	0.5547978174
228	0.55451987
229	0.554182626
